,Occupations,year,County,YearlyNumEmpbyCounty
760,Computer and mathematical occupations,2013,"Bronx County, New York",8861.25
761,Computer and mathematical occupations,2013,"Kings County, New York",49203.0
762,Computer and mathematical occupations,2013,"New York County, New York",55505.625
763,Computer and mathematical occupations,2013,"Queens County, New York",36144.0
764,Computer and mathematical occupations,2013,"Richmond County, New York",8768.0
765,Architecture and engineering occupations,2013,"Bronx County, New York",3055.75
766,Architecture and engineering occupations,2013,"Kings County, New York",20041.0
767,Architecture and engineering occupations,2013,"New York County, New York",12093.375
768,Architecture and engineering occupations,2013,"Queens County, New York",13156.0
769,Architecture and engineering occupations,2013,"Richmond County, New York",3490.5
770,"Life, physical, and social science occupations",2013,"Bronx County, New York",4135.5
771,"Life, physical, and social science occupations",2013,"Kings County, New York",12636.0
772,"Life, physical, and social science occupations",2013,"New York County, New York",22790.125
773,"Life, physical, and social science occupations",2013,"Queens County, New York",10038.0
774,"Life, physical, and social science occupations",2013,"Richmond County, New York",790.0
775,Community and social service occupations,2013,"Bronx County, New York",22430.5
776,Community and social service occupations,2013,"Kings County, New York",39604.0
777,Community and social service occupations,2013,"New York County, New York",27494.625
778,Community and social service occupations,2013,"Queens County, New York",28504.0
779,Community and social service occupations,2013,"Richmond County, New York",6423.5
780,Legal occupations,2013,"Bronx County, New York",6757.25
781,Legal occupations,2013,"Kings County, New York",35158.0
782,Legal occupations,2013,"New York County, New York",63206.875
783,Legal occupations,2013,"Queens County, New York",21882.0
784,Legal occupations,2013,"Richmond County, New York",6870.0
785,"Education, training, and library occupations",2013,"Bronx County, New York",47685.0
786,"Education, training, and library occupations",2013,"Kings County, New York",134821.0
787,"Education, training, and library occupations",2013,"New York County, New York",117090.375
788,"Education, training, and library occupations",2013,"Queens County, New York",94927.0
789,"Education, training, and library occupations",2013,"Richmond County, New York",30791.0
790,"Arts, design, entertainment, sports, and media occupations",2013,"Bronx County, New York",15362.5
791,"Arts, design, entertainment, sports, and media occupations",2013,"Kings County, New York",119215.0
792,"Arts, design, entertainment, sports, and media occupations",2013,"New York County, New York",150126.25
793,"Arts, design, entertainment, sports, and media occupations",2013,"Queens County, New York",55338.0
794,"Arts, design, entertainment, sports, and media occupations",2013,"Richmond County, New York",8704.5
795,Health diagnosing and treating practitioners and other technical occupations,2013,"Bronx County, New York",21441.0
796,Health diagnosing and treating practitioners and other technical occupations,2013,"Kings County, New York",58887.0
797,Health diagnosing and treating practitioners and other technical occupations,2013,"New York County, New York",65894.25
798,Health diagnosing and treating practitioners and other technical occupations,2013,"Queens County, New York",53475.0
799,Health diagnosing and treating practitioners and other technical occupations,2013,"Richmond County, New York",18476.5
800,Health technologists and technicians,2013,"Bronx County, New York",11638.0
801,Health technologists and technicians,2013,"Kings County, New York",23054.0
802,Health technologists and technicians,2013,"New York County, New York",8584.5
803,Health technologists and technicians,2013,"Queens County, New York",20242.0
804,Health technologists and technicians,2013,"Richmond County, New York",4652.0
805,Healthcare support occupations,2013,"Bronx County, New York",68148.5
806,Healthcare support occupations,2013,"Kings County, New York",100510.0
807,Healthcare support occupations,2013,"New York County, New York",29023.625
808,Healthcare support occupations,2013,"Queens County, New York",65247.0
809,Healthcare support occupations,2013,"Richmond County, New York",12763.5
810,"Fire fighting and prevention, and other protective service workers including supervisors",2013,"Bronx County, New York",22053.0
