"Label","Bronx County, New York / White alone / Estimate","Bronx County, New York / White alone / Margin of Error","Bronx County, New York / Black or African American alone / Estimate","Bronx County, New York / Black or African American alone / Margin of Error","Bronx County, New York / Some other race alone / Estimate","Bronx County, New York / Some other race alone / Margin of Error","Bronx County, New York / Hispanic or Latino (of any race) (200-299) / Estimate","Bronx County, New York / Hispanic or Latino (of any race) (200-299) / Margin of Error","Bronx County, New York / Not Hispanic or Latino / Estimate","Bronx County, New York / Not Hispanic or Latino / Margin of Error","Kings County, New York / White alone / Estimate","Kings County, New York / White alone / Margin of Error","Kings County, New York / Black or African American alone / Estimate","Kings County, New York / Black or African American alone / Margin of Error","Kings County, New York / Asian alone (400-499) / Estimate","Kings County, New York / Asian alone (400-499) / Margin of Error","Kings County, New York / Some other race alone / Estimate","Kings County, New York / Some other race alone / Margin of Error","Kings County, New York / Hispanic or Latino (of any race) (200-299) / Estimate","Kings County, New York / Hispanic or Latino (of any race) (200-299) / Margin of Error","Kings County, New York / Not Hispanic or Latino / Estimate","Kings County, New York / Not Hispanic or Latino / Margin of Error","New York County, New York / White alone / Estimate","New York County, New York / White alone / Margin of Error","New York County, New York / Black or African American alone / Estimate","New York County, New York / Black or African American alone / Margin of Error","New York County, New York / Asian alone (400-499) / Estimate","New York County, New York / Asian alone (400-499) / Margin of Error","New York County, New York / Some other race alone / Estimate","New York County, New York / Some other race alone / Margin of Error","New York County, New York / Two or more races / Estimate","New York County, New York / Two or more races / Margin of Error","New York County, New York / Hispanic or Latino (of any race) (200-299) / Estimate","New York County, New York / Hispanic or Latino (of any race) (200-299) / Margin of Error","New York County, New York / Not Hispanic or Latino / Estimate","New York County, New York / Not Hispanic or Latino / Margin of Error","Queens County, New York / White alone / Estimate","Queens County, New York / White alone / Margin of Error","Queens County, New York / Black or African American alone / Estimate","Queens County, New York / Black or African American alone / Margin of Error","Queens County, New York / Asian alone (400-499) / Estimate","Queens County, New York / Asian alone (400-499) / Margin of Error","Queens County, New York / Some other race alone / Estimate","Queens County, New York / Some other race alone / Margin of Error","Queens County, New York / Two or more races / Estimate","Queens County, New York / Two or more races / Margin of Error","Queens County, New York / Hispanic or Latino (of any race) (200-299) / Estimate","Queens County, New York / Hispanic or Latino (of any race) (200-299) / Margin of Error","Queens County, New York / Not Hispanic or Latino / Estimate","Queens County, New York / Not Hispanic or Latino / Margin of Error"
"Male civilian employed population 16 years and over","56549","3562","86863","4084","106237","4229","145670","4530","126846","3929","279105","4725","159136","5531","72710","2344","56209","3942","118577","3771","462910","5972","288983","6255","45054","3899","49574","2538","44720","5084","13214","2952","91230","4916","351845","6339","259336","7088","90822","3591","149843","3245","71617","5067","15307","1996","179308","4096","409136","5140"
"Management, business, science, and arts occupations","26.2","3.3","19.9","2.6","13.8","2.2","14.5","1.9","25.3","2.4","48.4","1.6","23.5","1.8","31.8","2.5","10.7","2.2","14.2","1.6","41.0","1.1","69.4","2.4","34.6","4.7","63.9","4.1","16.7","4.1","54.3","11.6","25.5","3.3","68.2","2.0","31.4","1.5","21.4","2.0","33.5","1.8","11.7","1.8","34.8","6.4","14.7","1.6","33.9","1.0"
"Service occupations","26.1","3.4","27.7","3.4","32.2","3.1","31.7","2.3","26.9","2.5","13.2","1.1","27.5","1.9","24.5","2.8","34.5","3.6","30.4","2.7","18.1","0.9","8.0","1.2","26.3","4.6","10.9","2.9","33.1","5.9","18.9","8.0","28.3","3.8","9.2","1.0","21.6","1.5","24.9","2.1","18.3","1.5","27.7","2.6","22.1","5.8","30.0","1.9","18.5","0.9"
"Sales and office occupations","21.0","2.8","21.5","2.9","17.8","2.3","19.3","2.0","19.4","2.0","18.2","1.2","18.7","1.4","19.3","2.6","12.4","2.6","15.1","1.7","18.7","1.0","17.1","1.7","20.1","4.1","20.5","3.2","20.8","4.9","14.1","5.5","20.6","3.2","17.5","1.5","16.1","1.3","18.3","2.0","23.4","1.8","18.1","2.5","21.1","4.6","16.3","1.6","19.7","0.8"
"Natural resources, construction, and maintenance occupations","13.0","2.6","9.7","1.7","15.6","2.3","14.5","1.8","10.8","1.5","10.6","1.0","14.5","1.5","8.5","1.3","22.7","3.5","21.2","1.9","10.4","0.8","2.3","0.8","6.8","2.3","1.0","0.6","11.2","3.9","5.6","5.0","10.8","3.0","1.8","0.5","16.9","1.4","16.5","2.2","7.8","1.2","25.1","3.4","9.4","2.9","21.1","2.2","12.9","0.9"
"Production, transportation, and material moving occupations","13.8","2.1","21.2","2.6","20.5","2.6","19.9","2.1","17.6","1.8","9.7","0.9","15.9","1.4","15.8","2.1","19.8","2.9","19.1","2.1","11.8","0.7","3.1","0.9","12.2","3.5","3.6","1.8","18.1","4.9","7.0","4.8","14.7","3.0","3.4","0.9","14.0","1.3","18.9","2.1","17.1","1.7","17.4","2.3","12.6","4.1","17.9","1.9","15.1","0.9"
"Female civilian employed population 16 years and over","54296","2948","102088","4247","100542","4626","143820","4874","134325","3975","248838","5175","216009","4699","64924","2070","39768","3259","92609","3572","489313","5072","274076","6432","49684","3705","57950","3310","39713","4065","12587","2629","83664","3586","351658","7459","213723","5686","105615","3337","122589","4127","51831","4395","15007","2202","130002","4219","379577","5942"
"Management, business, science, and arts occupations","40.5","3.2","29.1","2.2","17.4","2.1","20.9","2.0","35.9","2.2","53.7","1.3","30.8","1.8","38.6","3.2","21.9","4.0","27.1","2.4","43.9","1.2","68.5","2.1","40.7","4.5","64.6","3.7","25.4","5.2","51.9","9.3","31.9","4.1","67.0","1.8","41.8","1.7","34.1","2.4","39.8","2.1","22.6","3.0","32.3","6.6","25.9","2.1","41.4","1.2"
"Service occupations","21.2","2.5","40.5","3.0","45.6","2.9","41.2","2.4","33.7","2.3","17.6","1.0","38.5","1.9","27.4","3.0","45.0","5.1","37.4","2.5","26.7","1.0","9.1","1.4","26.5","3.9","13.4","3.3","37.7","5.6","19.1","8.2","34.7","3.7","9.9","1.2","24.4","1.5","30.1","2.4","26.8","1.8","38.0","3.4","29.3","7.7","38.0","2.5","24.2","1.2"
"Sales and office occupations","32.9","3.0","28.2","2.6","29.9","2.5","31.1","2.1","27.9","2.2","25.8","1.2","26.6","1.6","25.4","2.4","24.6","3.8","26.3","2.4","26.0","0.9","21.4","1.7","29.9","4.2","18.9","3.5","31.0","5.8","27.0","8.2","29.2","3.7","21.7","1.5","29.6","1.4","31.1","2.5","28.2","1.8","30.6","3.0","32.2","5.8","28.5","1.8","30.2","1.0"
"Natural resources, construction, and maintenance occupations","0.7","0.5","0.4","0.4","0.9","0.5","0.9","0.4","0.4","0.3","0.5","0.2","0.7","0.3","0.6","0.4","0.1","0.1","0.7","0.6","0.5","0.2","0.1","0.1","0.8","0.8","0.0","0.3","1.0","1.0","0.0","1.2","0.7","0.6","0.2","0.1","1.1","0.6","1.1","0.7","0.4","0.3","0.4","0.4","0.8","1.0","1.5","0.9","0.6","0.3"
"Production, transportation, and material moving occupations","4.7","1.3","1.8","0.6","6.2","1.4","5.9","1.1","2.1","0.5","2.3","0.4","3.5","0.7","8.0","1.9","8.4","2.2","8.5","1.4","2.9","0.4","0.8","0.3","2.2","1.0","3.0","1.5","4.9","2.2","2.0","2.9","3.6","1.1","1.2","0.3","3.1","0.6","3.6","0.9","4.8","1.2","8.4","2.3","5.3","2.8","6.1","1.2","3.6","0.5"
"INDUSTRY","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Civilian employed population 16 years and over","110845","5581","188951","6263","206779","6618","289490","7027","261171","5965","527943","8120","375145","7321","137634","2917","95977","5970","211186","5585","952223","8133","563059","9838","94738","5208","107524","4324","84433","7116","25801","4022","174894","6209","703503","10055","473059","9946","196437","4974","272432","5587","123448","7704","30314","3228","309310","5685","788713","8044"
"Agriculture, forestry, fishing and hunting, and mining","0.2","0.2","0.0","0.1","0.0","0.1","0.0","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.0","0.1","0.0","0.2","0.0","0.1","0.1","0.1","0.1","0.1","0.0","0.2","0.3","0.4","0.0","0.2","0.0","0.6","0.1","0.1","0.1","0.1","0.3","0.3","0.0","0.1","0.1","0.1","0.2","0.2","0.4","0.7","0.4","0.4","0.1","0.1"
"Construction","6.0","1.0","3.3","0.8","5.9","1.0","5.3","0.9","4.5","0.7","5.1","0.6","4.4","0.5","4.4","0.9","11.4","2.2","10.7","1.1","4.2","0.4","1.3","0.3","2.1","1.0","0.6","0.4","5.2","1.9","3.4","2.8","4.5","1.2","1.0","0.2","8.3","0.8","4.4","0.9","3.7","0.6","11.1","1.8","4.0","1.6","9.7","1.0","5.5","0.5"
"Manufacturing","3.7","0.9","3.2","0.7","5.1","1.1","5.1","0.9","3.3","0.6","4.0","0.4","2.5","0.4","7.5","1.3","6.7","1.6","6.5","0.9","3.7","0.3","2.4","0.4","1.5","0.6","3.9","1.4","3.7","1.3","3.5","1.6","3.4","0.9","2.4","0.4","4.4","0.5","3.1","0.7","5.1","0.7","5.5","1.2","5.6","1.9","5.3","0.7","4.2","0.3"
"Wholesale trade","1.2","0.6","1.4","0.5","2.3","0.6","2.0","0.4","1.4","0.4","3.0","0.3","1.0","0.3","4.7","1.1","2.4","0.9","2.4","0.6","2.5","0.3","2.0","0.4","1.1","0.6","2.9","1.1","2.1","1.2","2.6","1.9","2.2","0.8","2.0","0.3","2.9","0.4","1.0","0.3","4.3","0.9","2.4","0.7","1.5","1.0","2.4","0.5","2.9","0.4"
"Retail trade","11.8","1.9","10.6","1.5","13.4","1.7","13.4","1.3","10.3","1.1","8.9","0.7","9.1","0.7","9.9","1.3","12.2","1.7","11.7","1.0","8.9","0.5","7.2","0.6","13.9","2.5","5.3","1.6","17.7","3.0","11.2","5.0","14.7","2.0","7.3","0.7","8.6","0.8","9.5","1.3","11.8","1.2","13.6","1.7","11.9","3.1","10.6","1.1","10.1","0.5"
"Transportation and warehousing, and utilities","4.4","0.9","8.7","1.3","5.7","1.1","5.9","0.9","7.0","0.8","4.0","0.4","9.1","0.7","6.3","1.2","6.1","1.4","6.2","0.8","6.1","0.4","1.5","0.4","6.2","1.9","2.0","1.0","3.2","1.1","2.9","1.8","4.2","1.2","1.8","0.4","5.1","0.5","12.5","1.3","8.3","0.9","6.2","1.0","5.0","1.7","6.2","0.7","7.8","0.5"
"Information","2.8","0.9","2.3","0.6","0.6","0.3","1.0","0.4","2.6","0.5","6.2","0.5","2.2","0.4","2.6","0.7","1.4","0.6","2.1","0.5","4.7","0.3","8.0","0.8","3.4","1.0","4.5","1.2","2.0","1.2","3.4","2.3","2.7","1.0","7.3","0.7","3.3","0.4","2.4","0.7","2.9","0.6","1.1","0.5","5.0","2.2","1.8","0.4","3.2","0.4"
"Finance and insurance, and real estate and rental and leasing","8.3","1.4","5.2","1.1","7.8","1.3","7.4","1.0","6.2","0.9","8.5","0.6","6.2","0.6","8.9","1.3","5.8","1.4","5.7","0.9","8.0","0.5","18.8","1.3","7.9","2.1","22.1","2.8","7.1","1.9","13.8","4.5","10.3","1.8","18.3","1.1","8.6","0.6","6.2","0.9","11.4","0.9","5.3","1.3","5.4","1.9","5.8","0.6","9.5","0.6"
"Professional, scientific, and management, and administrative and waste management services","9.8","1.6","8.6","1.3","6.2","1.0","6.6","0.8","9.2","1.1","16.4","0.8","9.6","0.9","10.5","1.4","7.4","1.3","8.7","1.1","13.6","0.6","22.1","1.3","13.5","2.2","21.4","2.8","8.1","2.4","17.1","5.9","10.4","1.8","21.8","1.2","13.5","0.9","9.8","1.1","10.4","1.0","12.0","1.8","11.4","2.7","11.8","1.1","11.8","0.6"
"Educational services, and health care and social assistance","32.0","2.3","38.3","2.2","26.9","1.9","28.2","1.6","36.8","1.7","26.8","1.0","37.8","1.2","19.7","1.8","18.3","2.3","21.4","1.4","30.2","0.8","21.6","1.3","31.9","3.5","25.2","3.2","23.0","3.8","19.2","5.6","24.5","2.5","22.9","1.1","22.0","1.0","34.0","1.8","19.3","1.4","16.4","2.0","26.8","4.0","17.6","1.2","25.1","0.8"
"Arts, entertainment, and recreation, and accommodation and food services","9.3","1.2","8.3","1.1","15.8","1.9","14.1","1.4","9.5","0.9","9.4","0.7","7.2","0.7","17.5","2.0","15.4","2.0","13.9","1.1","9.3","0.5","9.7","1.0","10.0","2.1","7.7","1.7","20.2","4.0","16.4","4.5","14.7","2.2","9.7","0.9","12.2","0.8","5.9","1.0","13.7","1.3","15.2","2.0","14.1","4.2","16.6","1.3","9.9","0.6"
"Other services (except public administration)","5.9","1.0","4.5","0.8","8.3","1.2","7.8","1.0","4.5","0.7","4.6","0.5","5.2","0.5","6.0","1.2","11.0","2.1","7.8","1.2","5.0","0.4","3.3","0.6","5.6","1.6","2.5","0.9","5.4","1.8","4.4","2.5","5.6","1.4","3.3","0.5","6.7","0.8","4.7","0.8","7.1","0.9","8.4","1.6","4.3","1.7","8.9","1.1","5.7","0.5"
"Public administration","4.7","1.2","5.7","1.1","2.0","0.4","3.1","0.5","4.8","0.8","3.0","0.4","5.7","0.6","2.0","0.6","1.7","0.6","2.9","0.7","3.8","0.3","2.0","0.4","3.0","1.0","1.5","0.9","2.2","1.0","2.2","1.9","2.6","0.8","2.0","0.3","4.0","0.4","6.4","0.9","1.9","0.4","2.6","0.9","4.7","2.0","3.0","0.5","4.1","0.3"
"CLASS OF WORKER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Civilian employed population 16 years and over","110845","5581","188951","6263","206779","6618","289490","7027","261171","5965","527943","8120","375145","7321","137634","2917","95977","5970","211186","5585","952223","8133","563059","9838","94738","5208","107524","4324","84433","7116","25801","4022","174894","6209","703503","10055","473059","9946","196437","4974","272432","5587","123448","7704","30314","3228","309310","5685","788713","8044"
"Private wage and salary workers","79.4","2.5","76.9","1.6","83.1","1.8","81.4","1.5","78.5","1.3","80.5","0.7","75.3","1.5","85.5","1.7","86.5","1.8","82.9","1.6","79.2","0.7","83.9","1.0","78.1","3.4","89.7","2.6","86.5","2.8","90.0","3.7","84.5","1.7","84.4","1.0","79.0","1.0","72.8","1.2","85.2","1.1","85.4","2.1","80.6","3.3","82.7","1.3","79.1","0.6"
"Government workers","17.2","2.4","19.0","1.6","10.3","1.4","12.8","1.3","17.2","1.3","11.9","0.6","20.0","1.2","8.7","1.2","6.3","1.2","10.8","1.2","14.4","0.6","7.3","0.8","14.9","2.9","6.3","2.5","8.8","2.3","4.1","2.2","9.4","1.5","7.8","0.8","14.0","0.8","22.9","1.1","8.4","0.8","8.5","1.6","15.1","3.1","10.1","1.1","15.0","0.6"
"Self-employed workers in own not incorporated business","3.1","0.9","4.0","0.8","6.6","1.1","5.7","0.8","4.2","0.7","7.5","0.5","4.6","0.6","5.5","1.0","7.2","1.3","6.2","0.9","6.3","0.4","8.5","0.8","7.0","2.1","3.8","1.1","4.6","1.8","5.9","3.1","5.9","1.2","7.7","0.7","7.0","0.6","4.2","0.7","6.0","0.8","6.1","1.4","4.3","1.5","7.2","0.8","5.6","0.4"
"Unpaid family workers","0.3","0.3","0.0","0.1","0.0","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.2","0.2","0.0","0.2","0.1","0.1","0.1","0.1","0.2","0.1","0.0","0.2","0.2","0.2","0.1","0.2","0.0","0.6","0.1","0.2","0.2","0.1","0.1","0.1","0.0","0.1","0.4","0.3","0.0","0.1","0.0","0.5","0.1","0.1","0.2","0.1"
"INCOME IN THE PAST 12 MONTHS (IN 2013 INFLATION-ADJUSTED DOLLARS)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Households","113125","3848","165383","4415","169830","4923","251052","4192","230091","4933","440263","5178","312283","5374","86887","2051","66664","3343","158788","3528","766701","5243","463653","7160","95700","4287","83027","4142","60004","4505","20730","2736","136575","5047","589782","7619","380942","4972","138662","3039","171035","3639","71334","3624","19754","2094","188805","4184","595438","5069"
"Median household income (dollars)","40649","2380","35095","1474","28699","1709","28484","1509","40708","2072","57225","1382","40747","1084","45623","3860","33641","3974","36730","1895","50648","878","100128","3118","30300","3412","76409","11228","29627","2967","48769","7940","32401","1851","88902","3221","58021","2119","56565","1798","57852","2759","48012","3346","66368","9981","50072","1985","59841","1380"
"With earnings","63.8","2.1","74.6","1.8","75.1","1.9","72.6","1.6","72.5","1.5","76.9","0.7","76.4","1.2","89.4","1.3","78.3","2.7","76.0","1.4","78.5","0.6","81.8","1.0","66.0","2.6","82.8","2.5","77.9","3.5","79.9","5.2","73.3","2.3","80.9","0.9","75.7","0.9","81.8","1.3","88.4","1.1","88.8","2.0","90.3","2.5","86.5","1.3","79.4","0.6"
"Mean earnings (dollars)","74777","3776","52035","2344","44526","1691","46883","1483","63463","2589","94372","2531","61207","1543","77829","4852","53105","3254","59394","2947","82255","1767","170599","7110","59310","5518","142266","13032","46226","3662","86030","13622","63546","4993","158503","6220","82314","2193","69501","2178","78054","2709","65586","4694","77207","6468","66900","2971","80669","1366"
"With Social Security income","39.1","1.6","22.6","1.5","18.9","1.4","22.4","1.2","27.7","1.2","23.7","0.7","24.8","1.0","16.8","1.3","19.6","2.4","22.7","1.2","23.0","0.5","22.4","0.8","27.9","2.4","17.0","2.2","27.1","3.1","20.8","5.1","28.8","1.9","21.5","0.8","32.1","0.8","28.0","1.4","18.3","1.0","14.3","2.1","16.9","3.8","19.8","1.1","28.4","0.6"
"Mean Social Security income (dollars)","15422","684","13470","706","10369","662","11082","462","15395","543","16416","401","13975","405","10982","906","10774","1003","11771","538","15399","286","19225","674","13499","900","11073","1048","10224","763","15561","2621","11275","551","18213","604","17985","403","16096","724","13220","620","12609","1129","13701","1867","14262","663","17093","331"
"With Supplemental Security Income","14.1","1.8","12.2","1.4","15.1","1.5","16.9","1.3","9.9","1.1","8.7","0.6","9.2","0.8","6.6","1.1","12.9","2.5","13.0","1.4","8.2","0.5","3.1","0.5","11.3","2.0","7.8","1.8","13.8","2.8","6.4","2.8","14.7","1.6","3.6","0.4","4.6","0.5","7.5","0.9","4.7","0.7","5.2","1.3","6.6","2.7","6.0","0.8","5.0","0.3"
"Mean Supplemental Security Income (dollars)","8412","530","8062","610","8588","406","8430","270","8339","545","9404","358","8527","406","7197","486","8141","627","8178","413","9002","276","8254","652","8820","1055","5957","918","6521","896","9298","2275","7460","522","7974","706","8463","725","7952","468","7726","716","8238","1053","8511","1546","7562","593","8408","407"
"With cash public assistance income","4.2","0.9","8.2","1.3","7.1","1.0","7.3","0.9","6.2","1.0","3.0","0.4","5.7","0.7","4.4","1.1","6.5","1.7","5.7","1.1","4.0","0.4","1.4","0.4","5.6","1.3","1.6","0.7","5.4","1.8","2.5","2.2","4.4","1.4","2.0","0.3","2.7","0.4","4.9","0.8","3.7","0.7","3.8","1.2","3.2","1.7","4.2","0.8","3.2","0.3"
"Mean cash public assistance income (dollars)","3717","768","3532","534","3707","394","3607","366","3557","493","4946","786","4181","648","3002","373","5031","1099","5440","1057","4107","433","4980","1430","2791","571","2385","919","3444","1302","4609","3200","4490","1496","3305","527","4122","509","3961","737","3657","557","4217","1941","2683","1005","3571","613","4193","395"
"With retirement income","19.2","1.6","11.9","1.4","5.9","1.0","7.5","0.8","15.1","1.1","11.0","0.6","12.6","0.8","5.1","1.0","5.3","1.4","7.0","0.9","11.3","0.4","10.9","0.7","14.4","1.6","5.1","1.2","7.4","2.1","8.3","3.7","8.3","1.3","10.8","0.6","17.1","0.9","17.9","1.3","6.1","0.8","5.8","1.3","8.8","2.6","8.6","1.0","15.2","0.7"
"Mean retirement income (dollars)","26414","4206","18377","3038","10113","2533","14013","1952","23469","2923","26746","1987","17662","1130","16384","3790","18043","5666","18280","3904","22610","1175","41883","7285","19211","2818","20327","6988","10256","1780","13864","8517","12337","1988","37657","5722","24316","1495","20976","1907","20986","3671","13625","3178","15318","5518","15562","1678","23867","1255"
"With Food Stamp/SNAP benefits","25.7","2.0","35.3","2.1","49.8","2.3","47.6","1.9","27.3","1.7","18.5","0.9","28.8","1.2","24.7","1.8","46.4","3.6","40.0","2.0","21.5","0.7","6.9","0.7","29.6","3.1","16.3","2.6","41.0","3.7","23.8","5.9","38.7","2.3","8.9","0.8","11.0","0.9","21.3","1.7","12.7","1.4","24.0","2.6","21.2","3.9","23.5","1.8","11.8","0.7"
"Families","64258","3040","104495","3583","121863","4344","174073","3837","140695","3935","252384","5182","204958","4558","67068","1803","50296","3032","113777","3144","472379","6700","162531","5731","41410","3072","36902","2452","41425","3807","9969","2205","76872","3975","216889","6166","222959","5190","94662","3292","131465","3197","57198","3350","14474","1755","140133","3484","382571","6662"
"Median family income (dollars)","55262","4752","39513","2524","30482","1153","31075","920","50233","3462","65673","1992","48441","2555","44810","5130","33185","4239","38874","3065","58309","2878","151182","7657","33094","5284","81597","16677","33138","2996","46763","26803","36370","4085","129815","5112","70279","2776","66263","3308","58955","2792","48073","3181","70322","5725","50117","1714","70371","1334"
"Married-couple family","56.5","3.2","34.2","2.2","35.5","2.8","36.7","2.1","46.5","1.6","75.7","1.2","36.3","1.8","75.4","2.7","47.0","3.9","46.9","2.3","62.0","1.0","79.6","2.0","29.2","4.6","78.1","4.3","33.6","4.6","52.9","11.1","38.7","3.2","73.9","2.0","70.2","1.3","48.7","2.4","78.1","1.7","59.3","3.6","68.6","5.4","56.1","2.3","71.0","1.0"
"Median income (dollars)","80897","6128","62348","7504","46449","4929","47300","4517","75111","6021","75521","3678","73827","2967","50494","8121","44190","3363","49292","4693","73633","2565","178057","10838","59262","9080","100676","25678","47187","7279","107985","33125","57528","7810","162437","9579","80797","2587","85172","3821","60512","2406","60721","5690","79824","12314","60777","3142","78399","2021"
"Male householder, no spouse present, family","11.2","2.1","12.5","1.8","11.8","1.8","11.6","1.3","11.8","1.4","6.6","0.7","12.0","1.0","10.0","1.8","12.5","2.6","12.8","1.4","8.7","0.6","5.0","1.3","10.8","3.2","5.9","2.8","13.9","3.6","6.2","4.2","11.8","2.8","5.6","1.2","9.7","1.0","10.3","1.6","9.0","1.3","11.5","2.4","8.1","3.0","14.6","1.8","8.0","0.6"
"Median income (dollars)","46745","10332","37021","8567","36172","5537","34384","5687","45355","7611","57646","6042","39892","7310","45544","13928","40593","10502","43765","5319","50242","4707","90910","18926","23742","15033","N","N","48977","16881","44119","2299","49822","7952","47097","23313","52481","10427","55359","9044","61238","11367","39153","10922","48448","9904","48489","3257","59741","6358"
"Female householder, no husband present, family","32.4","2.9","53.3","2.2","52.7","2.5","51.7","1.9","41.7","1.6","17.7","1.0","51.7","1.6","14.6","2.0","40.5","3.7","40.3","2.1","29.2","0.8","15.4","1.8","59.9","4.9","16.0","3.8","52.5","6.0","40.9","10.3","49.5","3.5","20.4","1.7","20.1","1.4","41.0","2.3","12.9","1.3","29.2","3.3","23.4","5.1","29.3","1.9","21.0","0.9"
"Median income (dollars)","30122","7469","31787","1951","20429","1723","21765","1576","33837","2500","39596","4704","36416","1661","35307","3969","20881","2506","26511","2953","37154","1815","49962","9155","27044","3663","53373","14730","23335","4530","39069","14416","25610","3531","43373","5712","44808","6404","49266","4891","50323","6071","29773","5164","40234","11677","31158","2246","51037","2635"
"Individuals","292594","10468","469633","6583","542324","12254","774778","*****","643955","*****","1115644","11427","884730","8043","294566","2924","227602","11392","507880","*****","2084269","*****","920010","13250","245533","7673","186628","4490","204240","14941","61931","8707","419398","*****","1206761","*****","973874","14447","421205","6339","562285","4988","256749","14261","74740","7387","642259","*****","1653916","*****"
"Per capita income (dollars)","26251","1252","17770","624","13389","559","14369","451","22165","778","34264","787","21501","646","22653","1112","14801","1090","17225","836","28935","611","88123","4272","21620","1479","60995","5200","14844","997","32574","6085","20028","975","78387","3472","31294","731","24092","594","24415","840","18834","1147","19370","1812","20082","786","28941","450"
"With earnings for full-time, year-round workers:","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Male","43605","2992","64208","3359","81466","3615","110802","3996","94226","3703","213912","4677","120555","4903","52336","2850","44351","3346","95722","3720","345555","6408","220605","7259","30844","3388","39678","2681","32272","4479","9912","2589","65108","4889","269173","7920","209627","6564","68153","2896","115119","3402","55987","4438","10951","1646","145102","4630","315898","5047"
"Female","36326","2697","69947","3918","64448","3862","92561","4569","91865","4321","160430","4590","156626","4457","42119","2342","24035","2627","62312","3793","329500","5934","196227","7612","34270","3453","41980","3006","25993","3617","7197","1861","50996","4209","254971","8489","145709","4664","76681","3095","84421","4044","35683","3481","9579","1618","86819","3621","265803","5452"
"Mean earnings (dollars) for full-time, year-round workers:","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Male","62693","4317","41811","1773","35617","1700","37582","1551","52581","2625","78882","3139","48442","2090","53633","4741","34039","1925","38732","2154","69258","2253","169057","9723","57499","7767","140603","16538","36267","3839","100823","24159","50827","4579","161860","8624","62118","2240","51263","2253","55938","2657","40186","2326","57925","7207","42648","2415","62357","1538"
"Female","58140","4716","42462","1827","33256","1828","37777","2196","48967","2112","64012","1985","48329","2413","56868","4225","36363","3735","42148","2999","57777","1392","107923","5949","51503","4195","89954","8586","36272","3152","72187","14828","47764","3343","101067","4570","55805","1759","49325","1935","50351","2072","43546","5224","45088","3411","43135","2364","54272","1296"
"Median earnings (dollars) full-time, year-round workers:","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Male","49434","2288","36095","3115","30663","953","31000","841","42127","1760","55558","2902","40225","1435","35510","3890","27312","1709","30172","1559","50600","569","101020","1151","38816","4290","96296","14685","30005","5744","61920","25502","35069","4031","100326","3974","48668","2246","42209","2177","41769","1576","31762","1250","46117","3060","31765","1183","50382","611"
"Female","46953","4220","36865","878","27596","3165","30753","835","41038","868","51188","737","39271","1768","40988","2112","28567","4086","32155","1385","44770","1463","80543","3405","41718","2668","75446","10335","31785","2504","57287","9173","36508","1813","76354","2141","46862","1154","43237","3978","42252","2638","35606","1780","41043","1375","36239","1187","46721","840"
"HEALTH INSURANCE COVERAGE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Civilian noninstitutionalized population","285437","10500","459246","6537","537432","12511","766811","1473","627934","1694","1112680","11452","880469","8216","293691","2783","226012","11287","505388","684","2076552","1623","915398","13440","240572","8102","186427","4518","203969","14895","61653","8716","416916","739","1198774","2091","965590","14417","417088","6405","560550","4983","256366","14253","74378","7337","639936","598","1641301","2048"
"With private health insurance","55.3","2.7","46.9","1.9","31.2","1.9","33.5","1.5","53.4","1.6","58.2","1.1","50.3","1.3","41.7","2.3","29.5","2.6","36.4","1.7","54.8","0.8","81.0","1.1","43.6","2.8","69.4","3.1","33.4","4.1","58.7","5.9","40.9","2.5","76.1","1.0","57.8","1.4","60.2","1.7","47.6","1.8","40.7","2.8","57.2","4.0","41.1","1.8","58.7","0.9"
"With public coverage","46.9","2.2","48.9","1.8","56.2","1.7","56.2","1.4","45.6","1.5","38.7","1.0","44.1","1.3","48.7","2.3","50.9","2.3","47.3","1.8","41.6","0.9","22.1","0.9","52.0","3.4","25.8","2.8","53.8","3.7","34.4","5.6","49.2","2.2","25.5","1.0","36.6","1.1","36.4","1.3","36.5","1.6","37.1","2.6","34.6","3.9","39.5","1.5","35.4","0.8"
"No health insurance coverage","9.7","1.3","12.7","1.1","19.2","1.4","17.4","1.1","10.9","0.8","10.7","0.7","13.0","0.7","13.1","1.4","24.5","2.0","21.5","1.3","11.0","0.4","6.5","0.7","12.4","2.0","8.8","1.9","17.5","2.8","13.9","3.2","14.8","1.9","7.5","0.7","15.7","0.9","11.9","1.1","19.8","1.2","26.4","2.3","14.5","2.5","24.5","1.5","14.3","0.6"
