"Occupations","Gender","Boroughs","year","Salary","year_range"
"Architecture and engineering occupations","Female","Kings County","year2012",56925,"year2010_2013"
"Architecture and engineering occupations","Female","Kings County","year2013",60616,"year2010_2013"
"Architecture and engineering occupations","Female","Kings County","year2014",56973,"year2014_2016"
"Architecture and engineering occupations","Female","Kings County","year2015",66683,"year2014_2016"
"Architecture and engineering occupations","Female","Kings County","year2016",66174,"year2014_2016"
"Architecture and engineering occupations","Female","Kings County","year2017",61844,"year2017_2019"
"Architecture and engineering occupations","Female","Kings County","year2018",86036,"year2017_2019"
"Architecture and engineering occupations","Female","Kings County","year2019",78994,"year2017_2019"
"Life, physical, and social science occupations","Female","Kings County","year2010",56235,"year2010_2013"
"Life, physical, and social science occupations","Female","Kings County","year2011",52500,"year2010_2013"
"Life, physical, and social science occupations","Female","Kings County","year2012",49790,"year2010_2013"
"Life, physical, and social science occupations","Female","Kings County","year2013",46900,"year2010_2013"
"Life, physical, and social science occupations","Female","Kings County","year2014",40413,"year2014_2016"
"Life, physical, and social science occupations","Female","Kings County","year2015",51839,"year2014_2016"
"Life, physical, and social science occupations","Female","Kings County","year2016",46409,"year2014_2016"
"Life, physical, and social science occupations","Female","Kings County","year2017",67793,"year2017_2019"
"Life, physical, and social science occupations","Female","Kings County","year2018",60057,"year2017_2019"
"Life, physical, and social science occupations","Female","Kings County","year2019",64801,"year2017_2019"
"Community and social service occupations","Female","Kings County","year2010",41324,"year2010_2013"
"Community and social service occupations","Female","Kings County","year2011",41532,"year2010_2013"
"Community and social service occupations","Female","Kings County","year2012",42823,"year2010_2013"
"Community and social service occupations","Female","Kings County","year2013",45623,"year2010_2013"
"Community and social service occupations","Female","Kings County","year2014",41371,"year2014_2016"
"Community and social service occupations","Female","Kings County","year2015",40936,"year2014_2016"
"Community and social service occupations","Female","Kings County","year2016",44802,"year2014_2016"
"Community and social service occupations","Female","Kings County","year2017",46633,"year2017_2019"
"Community and social service occupations","Female","Kings County","year2018",54773,"year2017_2019"
"Community and social service occupations","Female","Kings County","year2019",50062,"year2017_2019"
